event,n,e,ror,ebgm,eb05,ebgm_signal,drug
Intracranial hypotension,30,0.7018,42.748,36.341,26.332,True,METHOTREXATE
Drug clearance decreased,18,0.6411,28.079,24.037,15.767,True,METHOTREXATE
Mucocutaneous ulceration,4,0.0742,53.889,22.409,8.968,True,METHOTREXATE
Eosinophilic pleural effusion,6,0.1687,35.567,22.045,10.437,True,METHOTREXATE
Sweat gland tumour,4,0.1012,39.518,20.047,8.022,True,METHOTREXATE
Rhabdomyosarcoma,4,0.1147,34.869,19.043,7.621,True,METHOTREXATE
Pachymeningitis,8,0.3306,24.195,18.814,9.871,True,METHOTREXATE
Disseminated varicella zoster virus infection,4,0.1215,32.932,18.575,7.433,True,METHOTREXATE
Whipple's disease,11,0.4993,22.029,18.548,10.74,True,METHOTREXATE
Bone fissure,6,0.2362,25.405,18.241,8.636,True,METHOTREXATE
Pericarditis rheumatic,4,0.1282,31.199,18.135,7.257,True,METHOTREXATE
Multicentric reticulohistiocytosis,4,0.135,29.639,17.71,7.087,True,METHOTREXATE
Lymphomatoid papulosis,4,0.1485,26.944,16.922,6.772,True,METHOTREXATE
Necrotising retinitis,4,0.1485,26.944,16.922,6.772,True,METHOTREXATE
Thymus disorder,5,0.2294,21.793,15.962,7.031,True,METHOTREXATE
Colitis erosive,9,0.4993,18.024,15.491,8.445,True,METHOTREXATE
Eye infection toxoplasmal,6,0.3172,18.918,15.112,7.154,True,METHOTREXATE
Status dystonicus,3,0.1215,24.699,14.957,5.227,True,METHOTREXATE
Takayasu's arteritis,4,0.1889,21.171,14.934,5.976,True,METHOTREXATE
Sarcoid-like reaction,9,0.5331,16.883,14.73,8.03,True,METHOTREXATE
Hemianopia homonymous,11,0.6815,16.14,14.508,8.401,True,METHOTREXATE
Subdural hygroma,6,0.3441,17.435,14.297,6.769,True,METHOTREXATE
Pyomyositis,3,0.135,22.229,14.261,4.984,True,METHOTREXATE
Thymoma benign,8,0.4859,16.466,14.254,7.479,True,METHOTREXATE
Gastrointestinal fistula,10,0.6276,15.935,14.229,8.013,True,METHOTREXATE
Stress ulcer,9,0.5668,15.878,14.042,7.655,True,METHOTREXATE
Pseudostroke,7,0.4251,16.466,14.025,7.027,True,METHOTREXATE
Granulomatous liver disease,4,0.2159,18.524,13.847,5.541,True,METHOTREXATE
Mucosal ulceration,8,0.5128,15.599,13.68,7.178,True,METHOTREXATE
Disseminated Bacillus Calmette-Guerin infection,8,0.5128,15.599,13.68,7.178,True,METHOTREXATE
Extrapulmonary tuberculosis,3,0.1485,20.208,13.627,4.762,True,METHOTREXATE
Aphakia,3,0.1485,20.208,13.627,4.762,True,METHOTREXATE
Cystitis bacterial,5,0.2969,16.84,13.577,5.98,True,METHOTREXATE
Epstein-Barr virus associated lymphoma,7,0.4521,15.483,13.401,6.715,True,METHOTREXATE
Sensorimotor disorder,3,0.1552,19.33,13.332,4.659,True,METHOTREXATE
Chondromalacia,4,0.2362,16.936,13.128,5.253,True,METHOTREXATE
Infective aneurysm,8,0.5533,14.458,12.898,6.767,True,METHOTREXATE
Non-cirrhotic portal hypertension,8,0.5533,14.458,12.898,6.767,True,METHOTREXATE
Retinal depigmentation,3,0.1687,17.783,12.776,4.465,True,METHOTREXATE
Benign mediastinal neoplasm,3,0.1754,17.099,12.517,4.374,True,METHOTREXATE
Bone tuberculosis,6,0.4251,14.114,12.301,5.824,True,METHOTREXATE
Gottron's papules,3,0.1822,16.466,12.265,4.286,True,METHOTREXATE
Glioblastoma multiforme,5,0.3509,14.249,12.128,5.342,True,METHOTREXATE
Gingival ulceration,3,0.1957,15.33,11.792,4.121,True,METHOTREXATE
Scarlet fever,3,0.1957,15.33,11.792,4.121,True,METHOTREXATE
Lymphocytic leukaemia,6,0.4589,13.076,11.623,5.503,True,METHOTREXATE
Axonal neuropathy,4,0.2902,13.785,11.535,4.616,True,METHOTREXATE
Acute graft versus host disease in liver,7,0.5601,12.498,11.377,5.701,True,METHOTREXATE
Palpable purpura,5,0.3846,12.999,11.371,5.008,True,METHOTREXATE
Ureaplasma infection,4,0.2969,13.472,11.364,4.548,True,METHOTREXATE
Tubulointerstitial nephritis and uveitis syndrome,3,0.2092,14.341,11.355,3.968,True,METHOTREXATE
Reflexes abnormal,3,0.2092,14.341,11.355,3.968,True,METHOTREXATE
Glioma,9,0.749,12.016,11.212,6.112,True,METHOTREXATE
Microsporidia infection,4,0.3037,13.173,11.196,4.48,True,METHOTREXATE
Mycobacterium marinum infection,3,0.2159,13.893,11.15,3.897,True,METHOTREXATE
Salmonella sepsis,3,0.2159,13.893,11.15,3.897,True,METHOTREXATE
Burkitt's lymphoma recurrent,5,0.4049,12.349,10.958,4.827,True,METHOTREXATE
Lymphoproliferative disorder,14,1.2281,11.4,10.943,6.762,True,METHOTREXATE
Chronic graft versus host disease in intestine,4,0.3172,12.612,10.876,4.352,True,METHOTREXATE
Hepatitis B virus test positive,4,0.3172,12.612,10.876,4.352,True,METHOTREXATE
Enterovesical fistula,4,0.3172,12.612,10.876,4.352,True,METHOTREXATE
Mediastinal cyst,3,0.2294,13.076,10.758,3.76,True,METHOTREXATE
Hip deformity,4,0.3239,12.349,10.724,4.291,True,METHOTREXATE
Ocular lymphoma,4,0.3239,12.349,10.724,4.291,True,METHOTREXATE
Tonsillar inflammation,4,0.3306,12.097,10.576,4.232,True,METHOTREXATE
Human herpesvirus 6 infection reactivation,5,0.4319,11.578,10.454,4.605,True,METHOTREXATE
Hypopituitarism,10,0.9177,10.897,10.381,5.846,True,METHOTREXATE
Mycobacterium ulcerans infection,8,0.7288,10.977,10.336,5.423,True,METHOTREXATE
Epstein-Barr virus associated lymphoproliferative disorder,13,1.2214,10.644,10.27,6.226,True,METHOTREXATE
Histoplasmosis disseminated,10,0.9312,10.739,10.251,5.773,True,METHOTREXATE
Varices oesophageal,11,1.0392,10.585,10.162,5.884,True,METHOTREXATE
Spinal cord injury cervical,15,1.4373,10.436,10.133,6.37,True,METHOTREXATE
Eyelid sensory disorder,3,0.2564,11.7,10.052,3.513,True,METHOTREXATE
Angioimmunoblastic T-cell lymphoma,3,0.2699,11.115,9.733,3.401,True,METHOTREXATE
Iatrogenic Kaposi sarcoma,3,0.2767,10.843,9.579,3.348,True,METHOTREXATE
Oral mucosa erosion,3,0.2767,10.843,9.579,3.348,True,METHOTREXATE
Anorectal disorder,3,0.2834,10.585,9.432,3.296,True,METHOTREXATE
Granulomatous lymphadenitis,3,0.2902,10.339,9.288,3.246,True,METHOTREXATE
Portal hypertensive gastropathy,6,0.6276,9.561,9.116,4.316,True,METHOTREXATE
Ovarian abscess,3,0.3037,9.88,9.014,3.15,True,METHOTREXATE
Prostatic abscess,3,0.3037,9.88,9.014,3.15,True,METHOTREXATE
Infective tenosynovitis,3,0.3037,9.88,9.014,3.15,True,METHOTREXATE
Subdural haemorrhage,8,0.8705,9.19,8.905,4.673,True,METHOTREXATE
Orchitis,6,0.6545,9.167,8.811,4.172,True,METHOTREXATE
Penicillium infection,3,0.3172,9.459,8.755,3.06,True,METHOTREXATE
Antithrombin III decreased,6,0.6613,9.073,8.737,4.137,True,METHOTREXATE
Hepatorenal syndrome,7,0.7828,8.943,8.671,4.345,True,METHOTREXATE
Connective tissue disease-associated interstitial lung disease,4,0.4386,9.12,8.647,3.461,True,METHOTREXATE
Blood brain barrier defect,3,0.3239,9.262,8.632,3.017,True,METHOTREXATE
Mucosal haemorrhage,6,0.6748,8.892,8.594,4.07,True,METHOTREXATE
Tuberculous pleurisy,3,0.3306,9.073,8.511,2.975,True,METHOTREXATE
Ileocaecal resection,3,0.3306,9.073,8.511,2.975,True,METHOTREXATE
Acute graft versus host disease in skin,21,2.49,8.434,8.365,5.671,True,METHOTREXATE
Burkitt's lymphoma,5,0.5803,8.616,8.337,3.673,True,METHOTREXATE
Primary amyloidosis,3,0.3441,8.717,8.278,2.894,True,METHOTREXATE
Enzyme level abnormal,3,0.3509,8.55,8.165,2.855,True,METHOTREXATE
Angiocentric lymphoma,4,0.4791,8.349,8.088,3.238,True,METHOTREXATE
Splenic rupture,3,0.3576,8.388,8.056,2.817,True,METHOTREXATE
Pyoderma,3,0.3644,8.233,7.947,2.78,True,METHOTREXATE
Cold type haemolytic anaemia,3,0.3644,8.233,7.947,2.78,True,METHOTREXATE
