original_name,rxcui,normalized_name,status
METHOTREXATE,6851.0,methotrexate,MAPPED
ACTEMRA,895761.0,Actemra,MAPPED
SULFASALAZINE,9524.0,sulfasalazine,MAPPED
PREDNISONE,8640.0,prednisone,MAPPED
RITUXIMAB,121191.0,rituximab,MAPPED
FOLIC ACID,4511.0,folic acid,MAPPED
DESOXIMETASONE,3255.0,desoximetasone,MAPPED
ORENCIA,616011.0,Orencia,MAPPED
LEFLUNOMIDE,27169.0,leflunomide,MAPPED
ENBREL,216891.0,Enbrel,MAPPED
CETIRIZINE HYDROCHLORIDE,203150.0,cetirizine hydrochloride,MAPPED
INFLECTRA,1790542.0,Inflectra,MAPPED
ACETAMINOPHEN,161.0,acetaminophen,MAPPED
HYDROXYCHLOROQUINE,5521.0,hydroxychloroquine,MAPPED
INFLIXIMAB,191831.0,infliximab,MAPPED
HYDROXYCHLOROQUINE SULFATE,153972.0,hydroxychloroquine sulfate,MAPPED
XELJANZ,1357542.0,Xeljanz,MAPPED
PHTHALYLSULFATHIAZOLE,33632.0,phthalylsulfathiazole,MAPPED
DICLOFENAC SODIUM,203214.0,diclofenac sodium,MAPPED
CIMZIA,795082.0,Cimzia,MAPPED
ADALIMUMAB,327361.0,adalimumab,MAPPED
HUMIRA,353484.0,Humira,MAPPED
CETIRIZINE,20610.0,cetirizine,MAPPED
DUPIXENT,1876402.0,Dupixent,MAPPED
REMICADE,219610.0,Remicade,MAPPED
ERELZI,,,NEEDS_REVIEW
COSENTYX,1599793.0,Cosentyx,MAPPED
ARAVA,215393.0,Arava,MAPPED
HYDROCORTISONE,5492.0,hydrocortisone,MAPPED
CORTISONE ACETATE,21655.0,cortisone acetate,MAPPED
SIMPONI,848161.0,Simponi,MAPPED
PANTOPRAZOLE SODIUM,253191.0,pantoprazole sodium,MAPPED
TOCILIZUMAB,612865.0,tocilizumab,MAPPED
FOSAMAX,114265.0,Fosamax,MAPPED
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,,,NEEDS_REVIEW
CELECOXIB,140587.0,celecoxib,MAPPED
ALENDRONATE SODIUM,203152.0,alendronate sodium,MAPPED
HYRIMOZ,2641646.0,Hyrimoz,MAPPED
PANTOPRAZOLE,40790.0,pantoprazole,MAPPED
DICLOFENAC,3355.0,diclofenac,MAPPED
ASPIRIN,1191.0,aspirin,MAPPED
ALENDRONIC ACID,236083.0,alendronic acid,MAPPED
NAPROXEN,7258.0,naproxen,MAPPED
CELEBREX,215927.0,Celebrex,MAPPED
MOUNJARO,2601734.0,Mounjaro,MAPPED
MESALAMINE,52582.0,mesalamine,MAPPED
PSEUDOEPHEDRINE HYDROCHLORIDE,91168.0,pseudoephedrine hydrochloride,MAPPED
DICLOFENAC POTASSIUM,81997.0,diclofenac potassium,MAPPED
STELARA,853351.0,Stelara,MAPPED
VITAMIN D3,1244014.0,vitamin D3,MAPPED
TYMLOS,1921077,Tymlos,MAPPED
