drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged
METHOTREXATE,Mucocutaneous ulceration,7,28.7,10.41,79.14,28.7,99.81,True
METHOTREXATE,Intracranial hypotension,39,13.9,9.56,20.22,13.9,328.01,True
METHOTREXATE,Superinfection viral,3,32.8,6.62,162.51,32.8,46.24,False
METHOTREXATE,Drug clearance decreased,24,9.05,5.76,14.22,9.05,134.66,True
METHOTREXATE,Colitis erosive,20,9.11,5.55,14.95,9.11,113.02,True
METHOTREXATE,Chondromalacia,24,8.12,5.19,12.69,8.12,120.02,True
METHOTREXATE,Eosinophilic pleural effusion,7,10.93,4.65,25.72,10.93,47.38,True
METHOTREXATE,Bone fissure,13,7.75,4.24,14.19,7.75,61.84,True
METHOTREXATE,Hip deformity,24,6.4,4.13,9.91,6.4,91.49,True
METHOTREXATE,SF3B1 gene mutation,3,16.4,4.1,65.57,16.4,28.92,False
METHOTREXATE,Sweat gland tumour,4,11.93,3.8,37.46,11.93,29.36,False
METHOTREXATE,Multicentric reticulohistiocytosis,6,8.56,3.48,21.01,8.56,31.75,True
METHOTREXATE,Thymus disorder,7,7.65,3.36,17.42,7.65,32.83,True
METHOTREXATE,Whipple's disease,13,5.84,3.24,10.54,5.84,44.27,True
METHOTREXATE,Idiopathic interstitial pneumonia,12,5.54,3.01,10.22,5.54,38.23,True
METHOTREXATE,Mycobacterium marinum infection,7,6.75,2.99,15.23,6.75,28.45,True
METHOTREXATE,Body height below normal,143,3.48,2.93,4.14,3.48,228.73,True
METHOTREXATE,Proctitis haemorrhagic,4,8.2,2.74,24.53,8.2,20.23,False
METHOTREXATE,Vascular access site discomfort,4,8.2,2.74,24.53,8.2,20.23,False
METHOTREXATE,Pericarditis rheumatic,4,8.2,2.74,24.53,8.2,20.23,False
METHOTREXATE,Extrapulmonary tuberculosis,5,7.13,2.71,18.76,7.13,21.65,True
METHOTREXATE,Human antichimeric antibody positive,143,3.21,2.7,3.81,3.21,197.74,True
METHOTREXATE,Pachymeningitis,8,5.58,2.64,11.81,5.58,25.72,True
METHOTREXATE,Myelocytosis,4,7.72,2.6,22.94,7.72,18.93,False
METHOTREXATE,Antibody test positive,143,3.08,2.6,3.66,3.08,184.05,True
METHOTREXATE,Bone density increased,143,3.02,2.54,3.58,3.02,176.51,True
METHOTREXATE,Short stature,149,2.97,2.52,3.52,2.97,179.06,False
METHOTREXATE,Clinodactyly,7,5.6,2.51,12.48,5.6,22.59,True
METHOTREXATE,Drug specific antibody,156,2.96,2.51,3.49,2.96,185.63,False
METHOTREXATE,Juvenile idiopathic arthritis,146,2.94,2.49,3.49,2.94,171.9,False
METHOTREXATE,Pustular psoriasis,744,2.63,2.44,2.84,2.63,696.69,False
METHOTREXATE,Rash vesicular,747,2.6,2.41,2.8,2.6,679.97,False
METHOTREXATE,Mucosal ulceration,13,4.26,2.39,7.6,4.26,28.74,True
METHOTREXATE,Hemianopia homonymous,13,4.26,2.39,7.6,4.26,28.74,True
METHOTREXATE,Lymphomatoid papulosis,4,6.91,2.35,20.3,6.9,16.69,False
METHOTREXATE,General symptom,674,2.53,2.34,2.73,2.52,576.65,False
METHOTREXATE,Disseminated Bacillus Calmette-Guerin infection,11,4.4,2.34,8.26,4.4,25.48,True
METHOTREXATE,Subcutaneous drug absorption impaired,757,2.51,2.33,2.7,2.51,637.91,False
METHOTREXATE,Testicular germ cell tumour,3,8.2,2.31,29.06,8.2,15.17,False
METHOTREXATE,Death neonatal,436,2.5,2.27,2.76,2.5,365.74,False
METHOTREXATE,International normalised ratio fluctuation,156,2.66,2.26,3.13,2.66,149.09,False
METHOTREXATE,Derealisation,158,2.65,2.26,3.12,2.65,150.46,False
METHOTREXATE,Disseminated varicella zoster virus infection,4,6.56,2.24,19.19,6.56,15.71,False
METHOTREXATE,Human anti-human antibody test,29,3.22,2.2,4.72,3.22,40.52,True
METHOTREXATE,Purtscher retinopathy,9,4.34,2.17,8.7,4.34,20.44,True
METHOTREXATE,Subdural hygroma,8,4.52,2.16,9.47,4.52,19.3,True
METHOTREXATE,Necrotising retinitis,4,6.25,2.14,18.2,6.25,14.81,False
METHOTREXATE,Rhabdomyosarcoma,4,6.25,2.14,18.2,6.25,14.81,False
METHOTREXATE,Bloody discharge,156,2.51,2.13,2.95,2.51,131.58,False
METHOTREXATE,Seronegative arthritis,536,2.31,2.12,2.53,2.31,373.03,False
METHOTREXATE,Infective aneurysm,10,4.1,2.12,7.91,4.1,20.83,True
METHOTREXATE,Swollen joint count,659,2.28,2.11,2.47,2.28,444.73,False
METHOTREXATE,Maternal exposure timing unspecified,1633,2.21,2.1,2.32,2.21,1011.13,False
METHOTREXATE,Palmoplantar pustulosis,8,4.3,2.06,8.99,4.3,17.92,True
METHOTREXATE,Bone density abnormal,88,2.56,2.06,3.18,2.56,77.52,False
METHOTREXATE,Sensorimotor disorder,4,5.96,2.05,17.31,5.96,13.98,False
METHOTREXATE,Swollen joint count increased,2920,2.1,2.03,2.18,2.1,1580.08,False
METHOTREXATE,Tumefactive multiple sclerosis,3,7.03,2.02,24.46,7.03,12.77,False
METHOTREXATE,Live birth,2872,2.09,2.02,2.18,2.09,1537.94,False
METHOTREXATE,Tender joint count increased,3,7.03,2.02,24.46,7.03,12.77,False
METHOTREXATE,Dislocation of vertebra,2392,2.08,2.0,2.17,2.08,1256.57,False
METHOTREXATE,Wheelchair user,171,2.34,2.0,2.73,2.34,122.22,False
METHOTREXATE,Adjustment disorder with depressed mood,2098,2.09,2.0,2.19,2.09,1121.53,False
METHOTREXATE,Human herpesvirus 6 infection reactivation,8,4.16,2.0,8.69,4.16,17.07,True
METHOTREXATE,Lyme disease,161,2.33,1.99,2.74,2.33,114.42,False
METHOTREXATE,Drug tolerance decreased,1228,2.11,1.99,2.23,2.11,671.42,False
METHOTREXATE,Prescribed underdose,2285,2.07,1.98,2.16,2.07,1183.47,False
METHOTREXATE,Sciatica,2830,2.05,1.97,2.13,2.05,1428.55,False
METHOTREXATE,Rheumatoid factor positive,2999,2.05,1.97,2.12,2.04,1502.58,False
