drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
DUPIXENT,Dermatitis atopic,4296,113.72,108.84,118.82,108.75,217957.93,True,"DUPIXENT was reported with 'Dermatitis atopic' in 4296 cases. This combination occurs 113.72x more often than expected (95% CI: 108.84-118.82, entirely above 1, meaning the result is statistically significant). PRR=108.75 (≥2 threshold met), chi2=217957.93 (≥4 threshold met)."
DUPIXENT,Eczema,2522,43.21,41.23,45.3,42.12,70942.69,True,"DUPIXENT was reported with 'Eczema' in 2522 cases. This combination occurs 43.21x more often than expected (95% CI: 41.23-45.3, entirely above 1, meaning the result is statistically significant). PRR=42.12 (≥2 threshold met), chi2=70942.69 (≥4 threshold met)."
DUPIXENT,Injection site pain,3061,20.86,20.05,21.7,20.24,46506.7,True,"DUPIXENT was reported with 'Injection site pain' in 3061 cases. This combination occurs 20.86x more often than expected (95% CI: 20.05-21.7, entirely above 1, meaning the result is statistically significant). PRR=20.24 (≥2 threshold met), chi2=46506.7 (≥4 threshold met)."
DUPIXENT,Exposure via skin contact,1346,54.87,51.32,58.66,54.13,45285.95,True,"DUPIXENT was reported with 'Exposure via skin contact' in 1346 cases. This combination occurs 54.87x more often than expected (95% CI: 51.32-58.66, entirely above 1, meaning the result is statistically significant). PRR=54.13 (≥2 threshold met), chi2=45285.95 (≥4 threshold met)."
DUPIXENT,Pruritus,5133,11.18,10.85,11.51,10.64,40691.08,True,"DUPIXENT was reported with 'Pruritus' in 5133 cases. This combination occurs 11.18x more often than expected (95% CI: 10.85-11.51, entirely above 1, meaning the result is statistically significant). PRR=10.64 (≥2 threshold met), chi2=40691.08 (≥4 threshold met)."
DUPIXENT,Dry skin,2096,21.28,20.29,22.32,20.85,32714.92,True,"DUPIXENT was reported with 'Dry skin' in 2096 cases. This combination occurs 21.28x more often than expected (95% CI: 20.29-22.32, entirely above 1, meaning the result is statistically significant). PRR=20.85 (≥2 threshold met), chi2=32714.92 (≥4 threshold met)."
DUPIXENT,Accidental exposure to product,1356,30.03,28.25,31.92,29.62,28835.78,True,"DUPIXENT was reported with 'Accidental exposure to product' in 1356 cases. This combination occurs 30.03x more often than expected (95% CI: 28.25-31.92, entirely above 1, meaning the result is statistically significant). PRR=29.62 (≥2 threshold met), chi2=28835.78 (≥4 threshold met)."
TYMLOS,Heart rate increased,1387,22.63,21.4,23.94,22.01,25098.02,True,"TYMLOS was reported with 'Heart rate increased' in 1387 cases. This combination occurs 22.63x more often than expected (95% CI: 21.4-23.94, entirely above 1, meaning the result is statistically significant). PRR=22.01 (≥2 threshold met), chi2=25098.02 (≥4 threshold met)."
TYMLOS,Bone pain,859,33.21,30.88,35.71,32.63,22665.06,True,"TYMLOS was reported with 'Bone pain' in 859 cases. This combination occurs 33.21x more often than expected (95% CI: 30.88-35.71, entirely above 1, meaning the result is statistically significant). PRR=32.63 (≥2 threshold met), chi2=22665.06 (≥4 threshold met)."
TYMLOS,Palpitations,1213,18.08,17.04,19.19,17.65,17536.74,True,"TYMLOS was reported with 'Palpitations' in 1213 cases. This combination occurs 18.08x more often than expected (95% CI: 17.04-19.19, entirely above 1, meaning the result is statistically significant). PRR=17.65 (≥2 threshold met), chi2=17536.74 (≥4 threshold met)."
DUPIXENT,Therapeutic response shortened,943,21.83,20.34,23.43,21.63,15215.69,True,"DUPIXENT was reported with 'Therapeutic response shortened' in 943 cases. This combination occurs 21.83x more often than expected (95% CI: 20.34-23.43, entirely above 1, meaning the result is statistically significant). PRR=21.63 (≥2 threshold met), chi2=15215.69 (≥4 threshold met)."
DUPIXENT,Skin burning sensation,672,29.19,26.77,31.82,28.99,14030.32,True,"DUPIXENT was reported with 'Skin burning sensation' in 672 cases. This combination occurs 29.19x more often than expected (95% CI: 26.77-31.82, entirely above 1, meaning the result is statistically significant). PRR=28.99 (≥2 threshold met), chi2=14030.32 (≥4 threshold met)."
